2008,0,0,United States,0.6155,0.6219,0.5687,230872030,0.0840,1605448,2451085,627680,3144831,4972217,213313508,131304731,132653958,69456897,59934814,0.4632

2008,41,1,Alabama,0.6078,0.6095,0.5840,3595708,0.0223,30508,53252,8042,61155,74079,3454510,2099819,2105622,813479,1266546,0.6089

2008,81,2,Alaska,0.6804,0.6828,0.6426,507645,0.0374,5014,6708,1732,9234,60686,479429,326197,327341,123594,193841,0.6106

2008,61,3,Arizona,0.5668,0.5736,0.4907,4673718,0.1162,39589,82232,7534,84472,90036,4046075,2293475,2320851,1034707,1230111,0.5431

2008,42,4,Arkansas,0.5245,0.5290,0.4996,2174846,0.0290,14716,31169,19908,40255,43963,2071563,1086617,1095958,422310,638017,0.6017

2008,71,5,California,0.6092,0.6174,0.4948,27411094,0.1793,173670,0,120753,234047,486207,22261504,13561900,13743177,8274473,5011781,0.3772

2008,62,6,Colorado,0.7098,0.7160,0.6474,3708955,0.0800,23274,0,11654,29101,71854,3382959,2401361,2422236,1288576,1073589,0.4545

2008,1,7,Connecticut,0.6664,,0.6041,2725917,0.0855,20661,0,2328,21825,45799,2471082,1646792,,997772,629428,0.3868

2008,11,8,Delaware,0.6565,0.6583,0.6060,680493,0.0534,7075,17216,551,15959,12658,628200,412398,413562,255459,152374,0.3736

2008,55,9,District of Columbia,0.6146,0.6169,0.5516,481971,0.1025,0,0,0,0,6916,432566,265853,266871,245800,17367,0.0660

2008,43,10,Florida,0.6613,0.6663,0.5763,14558436,0.1117,102388,279760,4528,244532,451907,12687407,8390744,8453743,4282074,4045624,0.4858

2008,44,11,Georgia,0.6247,0.6273,0.5556,7063638,0.0734,52719,397081,23448,262984,141001,6281872,3924440,3940705,1844137,2048744,0.5263

2008,82,12,Hawaii,0.4877,0.4904,0.4378,1036088,0.0966,5955,0,0,5955,20090,930067,453568,456064,325871,120566,0.2701

2008,63,13,Idaho,0.6363,0.6484,0.5860,1117842,0.0489,7290,49513,3361,33727,26779,1029416,655032,667506,236440,403012,0.6302

2008,21,14,Illinois,0.6362,0.6426,0.5744,9615700,0.0925,45474,0,0,45474,200530,8681138,5523051,5578195,3419673,2031527,0.3727

2008,22,15,Indiana,0.5912,0.6030,0.5700,4826231,0.0300,28322,0,0,28322,89605,4653019,2751054,2805986,1374039,1345648,0.4948

2008,31,16,Iowa,0.6936,0.6966,0.6687,2298515,0.0264,8766,22958,3159,21825,43108,2216094,1537123,1543662,828940,682379,0.4515

2008,32,17,Kansas,0.6205,0.6347,0.5885,2100084,0.0425,8539,16263,4958,19150,42495,1991759,1235872,1264208,514765,699655,0.5761

2008,51,18,Kentucky,0.5794,0.5895,0.5573,3277617,0.0219,21706,51035,12277,53362,58518,3152629,1826508,1858578,751985,1048462,0.5823

2008,45,19,Louisiana,0.6116,0.6176,0.5867,3342279,0.0197,38381,40025,24636,70712,68285,3205794,1960761,1979852,782989,1148275,0.5946

2008,2,20,Maine,0.7056,0.7184,0.6965,1049816,0.0129,0,0,0,0,21362,1036242,731163,744456,421923,295273,0.4117

2008,52,21,Maryland,0.6705,0.6782,0.6060,4342850,0.0782,23324,96360,13220,78114,77074,3925117,2631596,2661905,1629467,959862,0.3707

2008,3,22,Massachusetts,0.6680,0.6727,0.6091,5058035,0.0858,11408,0,0,11408,77830,4612550,3080985,3102995,1904097,1108854,0.3680

2008,23,23,Michigan,0.6919,0.6970,0.6644,7528460,0.0332,48738,0,0,48738,163673,7229512,5001766,5039080,2872579,2048639,0.4163

2008,33,24,Minnesota,0.7781,0.7810,0.7320,3975974,0.0401,9910,127627,5081,76264,70063,3740142,2910369,2921147,1573354,1275409,0.4477

2008,46,25,Mississippi,0.6103,,0.5889,2190402,0.0190,22754,22267,2922,35349,45082,2113347,1289856,,554662,724597,0.5664

2008,34,26,Missouri,0.6759,0.6914,0.6489,4507688,0.0246,30186,57360,20683,69208,96710,4327572,2925205,2992023,1441911,1445814,0.5007

2008,64,27,Montana,0.6632,0.6708,0.6513,755384,0.0132,3545,0,0,3545,22898,741853,491960,497599,231667,242763,0.5117

2008,35,28,Nebraska,0.6286,0.6369,0.5944,1348048,0.0435,4520,19606,846,14746,27311,1274719,801281,811923,333319,452979,0.5761

2008,65,29,Nevada,0.5704,0.5717,0.4839,2000277,0.1410,12743,13337,3908,21366,45656,1696831,967848,970019,533736,412827,0.4361

2008,4,30,New Hampshire,0.7165,0.7253,0.6958,1021787,0.0263,2702,0,0,2702,25558,992226,710970,719643,384826,316534,0.4513

2008,12,31,New Jersey,0.6696,0.6769,0.5816,6651284,0.1167,25953,128737,15849,98246,110559,5776527,3868237,3910220,2215422,1613207,0.4214

2008,66,32,New Mexico,0.6092,0.6116,0.5513,1505830,0.0827,6402,20883,3724,18706,31444,1362629,830158,833365,472422,346832,0.4234

2008,13,33,New York,0.5901,0.5963,0.5136,14876971,0.1238,60347,0,52225,86460,263787,12948969,7640640,7721718,4769700,2742298,0.3651

2008,47,34,North Carolina,0.6547,0.6614,0.6075,7096503,0.0586,39482,109678,3409,96026,133483,6584302,4310789,4354571,2142651,2128474,0.4983

2008,36,35,North Dakota,0.6273,0.6362,0.6175,512768,0.0128,1452,0,0,1452,11179,504762,316621,321133,141278,168601,0.5441

2008,24,36,Ohio,0.6694,0.6782,0.6507,8757453,0.0220,51686,0,0,51686,174703,8513079,5698260,5773777,2933388,2674491,0.4769

2008,53,37,Oklahoma,0.5585,0.5630,0.5280,2770219,0.0396,25864,27940,3073,41371,57046,2619121,1462661,1474694,502496,960165,0.6565

2008,72,38,Oregon,0.6769,0.6833,0.6268,2916246,0.0692,14167,0,0,14167,63480,2700327,1827864,1845251,1037291,738475,0.4159

2008,14,39,Pennsylvania,0.6357,0.6419,0.6127,9813664,0.0312,49215,0,0,49215,203791,9457942,6012692,6071357,3276363,2655885,0.4477

2008,5,40,Rhode Island,0.6178,0.6226,0.5713,825786,0.0704,4045,0,0,4045,13827,763608,471766,475428,296571,165391,0.3580

2008,48,41,South Carolina,0.5802,0.5820,0.5530,3473488,0.0335,24326,41254,1947,45927,72241,3311044,1920969,1927153,862449,1034896,0.5454

2008,37,42,South Dakota,0.6466,0.6559,0.6339,602539,0.0118,3342,0,2720,4702,20144,590720,381975,387449,170924,203054,0.5430

2008,54,43,Tennessee,0.5697,0.5738,0.5448,4771926,0.0308,27228,58109,10578,61572,127930,4563192,2599749,2618238,1087437,1479178,0.5763

2008,49,44,Texas,0.5411,,0.4549,17756112,0.1345,172506,427080,102921,437507,549216,14929810,8077795,,3528633,4479328,0.5594

2008,67,45,Utah,0.5601,0.5712,0.5176,1840087,0.0724,6552,0,0,6552,31783,1700286,952370,971185,327670,596030,0.6453

2008,6,46,Vermont,0.6734,0.6771,0.6598,492610,0.0202,0,0,0,0,10546,482677,325046,326822,219262,98974,0.3110

2008,40,47,Virginia,0.6702,0.6756,0.6183,6022123,0.0663,38276,53614,4471,67319,124689,5555415,3723260,3753059,1959532,1725005,0.4682

2008,73,48,Washington,0.6658,0.6734,0.6034,5032960,0.0778,17926,113134,11768,80377,138296,4561163,3036878,3071587,1750848,1229216,0.4125

2008,56,49,West Virginia,0.4987,0.5115,0.4909,1453045,0.0078,6059,8283,2005,11203,33788,1430439,713362,731691,303857,397466,0.5667

2008,25,50,Wisconsin,0.7240,0.7273,0.6927,4306876,0.0298,23379,50418,18105,57641,78721,4120694,2983417,2997086,1677211,1262393,0.4294

2008,68,51,Wyoming,0.6277,0.6310,0.6092,418040,0.0171,2084,5438,727,5167,13832,405732,254658,256035,82868,164958,0.6656

2006,0,0,United States,0.4037,0.4131,0.3717,225485399,0.0857,1566526,2418574,587305,3363118,4417527,207643594,83815592,85769132,,,

2006,41,1,Alabama,0.3745,,0.3591,3513952,0.0227,28241,55766,7795,63919,,3338467,1250401,,,,

2006,81,2,Alaska,0.5102,0.5123,0.4781,492452,0.0447,5069,6095,973,9090,,465169,237322,238307,,,

2006,61,3,Arizona,0.3891,0.3958,0.3332,4490327,0.1262,35892,73265,6213,78738,,3923786,1526782,1553032,,,

2006,42,4,Arkansas,0.3865,0.3894,0.3637,2130080,0.0328,13729,31508,16666,46149,,2004193,774680,780409,,,

2006,71,5,California,0.4022,0.4123,0.3220,26739781,0.1887,175512,0,111744,287256,,21582217,8679416,8899059,,,

2006,62,6,Colorado,0.4726,0.4810,0.4307,3569901,0.0804,22481,0,8196,30677,,3297308,1558405,1586105,,,

2006,1,7,Connecticut,0.4655,0.4769,0.4245,2683538,0.0794,20566,0,2571,23137,,2437559,1134780,1162391,,,

2006,11,8,Delaware,0.4226,0.4291,0.3896,659410,0.0533,7206,16958,600,16285,,601341,254099,258053,,,

2006,55,9,District of Columbia,0.2827,0.2868,0.2555,466827,0.0967,0,0,0,0,,426612,120620,122356,,,

2006,43,10,Florida,0.3962,0.4008,0.3428,14211669,0.1181,92969,272977,4785,234243,,12187858,4829270,4884544,,,

2006,44,11,Georgia,0.3470,0.3506,0.3069,6799654,0.0744,52792,422790,22851,287038,,6115331,2122258,2143845,,,

2006,82,12,Hawaii,0.3788,0.3840,0.3457,1012975,0.0806,5967,0,0,5967,,908925,344315,348988,,,

2006,63,13,Idaho,0.4540,0.4622,0.4198,1072895,0.0436,7124,48609,2482,33911,,993010,450832,458927,,,

2006,21,14,Illinois,0.4023,0.4138,0.3632,9483856,0.0925,45106,0,0,45106,,8667453,3486671,3586292,,,

2006,22,15,Indiana,0.3656,0.3771,0.3523,4743856,0.0310,26091,0,0,26091,,4559294,1666922,1719351,,,

2006,31,16,Iowa,0.4811,0.4919,0.4625,2267991,0.0280,8875,22622,3560,23746,,2178322,1048033,1071509,,,

2006,32,17,Kansas,0.4360,0.4434,0.4108,2062668,0.0473,8816,15518,4666,21241,,1948850,849700,864083,,,

2006,51,18,Kentucky,0.4043,0.4418,0.3901,3218000,0.0192,20000,41162,10162,50743,,3100828,1253526,1370062,,,

2006,45,19,Louisiana,0.2965,0.3137,0.2830,3239317,0.0201,37012,38057,24072,80113,,3043573,902498,954896,,,

2006,2,20,Maine,0.5420,,0.5329,1037200,0.0168,0,0,0,0,,1016287,550865,,,,

2006,52,21,Maryland,0.4665,0.4720,0.4216,4261205,0.0787,22945,75698,14271,75065,,3833349,1788316,1809237,,,

2006,3,22,Massachusetts,0.4876,0.4928,0.4442,4970780,0.0869,11032,0,0,11032,,4552794,2219779,2243835,,,

2006,23,23,Michigan,0.5212,0.5282,0.4988,7532918,0.0362,51577,0,0,51577,,7292624,3801256,3852008,,,

2006,33,24,Minnesota,0.6006,0.6046,0.5637,3896561,0.0418,9108,127289,4007,76760,,3667707,2202987,2217552,,,

2006,46,25,Mississippi,0.2941,,0.2855,2154112,0.0128,21068,24107,1970,35092,,2077420,610921,,,,

2006,34,26,Missouri,0.5004,0.5121,0.4809,4427266,0.0216,30167,54963,18374,76023,,4253541,2128459,2178278,,,

2006,64,27,Montana,0.5642,0.5706,0.5558,734669,0.0102,3572,0,0,3572,,720447,406505,411061,,,

2006,35,28,Nebraska,0.4765,0.4880,0.4509,1325932,0.0431,4407,18731,662,14435,,1251027,596087,610499,,,

2006,65,29,Nevada,0.3689,0.3712,0.3115,1907976,0.1436,12901,13208,3518,23023,,1579222,582572,586274,,,

2006,4,30,New Hampshire,0.4138,0.4292,0.3987,1006234,0.0340,2805,0,0,2805,,975281,403531,418550,,,

2006,12,31,New Jersey,0.3947,0.4062,0.3410,6565183,0.1204,27371,132636,13874,107563,,5701033,2250070,2315643,,,

2006,66,32,New Mexico,0.4250,0.4307,0.3862,1464560,0.0798,6639,16493,2831,17717,,1320285,561084,568597,,,

2006,13,33,New York,0.3486,0.3652,0.3026,14665626,0.1243,63315,0,53533,116848,,12878632,4490053,4703830,,,

2006,47,34,North Carolina,0.3098,0.3251,0.2874,6799585,0.0582,37460,110419,3101,95771,,6264630,1940808,2036451,,,

2006,36,35,North Dakota,0.4487,0.4535,0.4408,503647,0.0147,1363,0,0,1363,,486142,218152,220479,,,

2006,24,36,Ohio,0.4754,0.4945,0.4625,8687609,0.0216,49166,0,0,49166,,8461211,4022754,4184072,,,

2006,53,37,Oklahoma,0.3637,,0.3434,2709819,0.0392,26243,27415,4329,44280,,2547224,926462,,,,

2006,72,38,Oregon,0.5247,0.5324,0.4839,2829482,0.0728,13707,0,0,13707,,2628937,1379475,1399650,,,

2006,14,39,Pennsylvania,0.4412,,0.4261,9680466,0.0295,44397,0,0,44397,,9283762,4096077,,,,

2006,5,40,Rhode Island,0.5105,0.5209,0.4667,824887,0.0810,3996,0,0,3996,,754219,384993,392882,,,

2006,48,41,South Carolina,0.3464,0.3545,0.3305,3332190,0.0320,23616,38353,3072,45865,,3152046,1091952,1117311,,,

2006,37,42,South Dakota,0.5779,0.5875,0.5643,589178,0.0141,3359,0,2444,5803,,580592,335508,341105,,,

2006,54,43,Tennessee,0.4136,0.4214,0.3955,4641909,0.0305,25745,52558,8630,60654,,4433921,1833695,1868363,,,

2006,49,44,Texas,0.3086,,0.2582,17029802,0.1345,172116,431967,101916,490016,,14255313,4399068,,,,

2006,67,45,Utah,0.3432,0.3500,0.3177,1752158,0.0712,6430,0,0,6430,,1664323,571252,582561,,,

2006,6,46,Vermont,0.5494,0.5500,0.5385,487141,0.0201,0,0,0,0,,478247,262726,263025,,,

2006,40,47,Virginia,0.4402,0.4454,0.4058,5867219,0.0669,36688,48144,4499,65259,,5385522,2370445,2398589,,,

2006,73,48,Washington,0.4731,0.4735,0.4273,4861001,0.0798,17561,108076,11568,83167,,4403981,2083734,2085074,,,

